short_name,long_name,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_name,club_position,club_jersey_number,nationality_name,preferred_foot,pace,shooting,passing,dribbling,defending,physic,skill_dribbling,skill_curve,skill_ball_control,movement_agility,movement_reactions,power_shot_power,power_jumping,player_face_url,club_logo_url
L. Messi,Lionel Andrés Messi Cuccittini,93,95,100500000.0,550000.0,27,169,67,FC Barcelona,CF,10.0,Argentina,Left,93.0,89.0,86.0,96.0,27.0,63.0,96,89,96,94,94,80,73,https://cdn.sofifa.net/players/158/023/15_120.png,https://cdn.sofifa.net/teams/241/60.png
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,92,92,79000000.0,375000.0,29,185,80,Real Madrid CF,LW,7.0,Portugal,Right,93.0,93.0,81.0,91.0,32.0,79.0,93,88,92,93,90,94,94,https://cdn.sofifa.net/players/020/801/15_120.png,https://cdn.sofifa.net/teams/243/60.png
A. Robben,Arjen Robben,90,90,54500000.0,275000.0,30,180,80,FC Bayern München,SUB,10.0,Netherlands,Left,93.0,86.0,83.0,92.0,32.0,64.0,93,85,90,93,89,86,61,https://cdn.sofifa.net/players/009/014/15_120.png,https://cdn.sofifa.net/teams/21/60.png
Z. Ibrahimović,Zlatan Ibrahimović,90,90,52500000.0,275000.0,32,195,95,Paris Saint-Germain,ST,10.0,Sweden,Right,76.0,91.0,81.0,86.0,34.0,86.0,88,80,90,86,85,93,72,https://cdn.sofifa.net/players/041/236/15_120.png,https://cdn.sofifa.net/teams/73/60.png
M. Neuer,Manuel Peter Neuer,90,90,63500000.0,300000.0,28,193,92,FC Bayern München,GK,1.0,Germany,Right,,,,,,,25,25,31,43,89,42,78,https://cdn.sofifa.net/players/167/495/15_120.png,https://cdn.sofifa.net/teams/21/60.png
Iniesta,Andrés Iniesta Luján,89,89,36000000.0,250000.0,30,170,65,FC Barcelona,LCM,8.0,Spain,Right,75.0,72.0,89.0,91.0,59.0,63.0,92,80,94,83,90,65,54,https://cdn.sofifa.net/players/000/041/15_120.png,https://cdn.sofifa.net/teams/241/60.png
L. Suárez,Luis Alberto Suárez Díaz,89,91,49500000.0,300000.0,27,181,81,FC Barcelona,RES,9.0,Uruguay,Right,83.0,87.0,79.0,88.0,42.0,79.0,90,86,89,86,91,84,69,https://cdn.sofifa.net/players/176/580/15_120.png,https://cdn.sofifa.net/teams/241/60.png
R. van Persie,Robin van Persie,88,88,40500000.0,230000.0,30,187,71,Manchester United,RS,20.0,Netherlands,Left,74.0,90.0,82.0,83.0,33.0,68.0,84,86,87,80,88,90,59,https://cdn.sofifa.net/players/007/826/15_120.png,https://cdn.sofifa.net/teams/11/60.png
B. Schweinsteiger,Bastian Schweinsteiger,88,88,39000000.0,200000.0,29,183,79,FC Bayern München,SUB,31.0,Germany,Right,61.0,81.0,85.0,82.0,78.0,80.0,81,82,86,74,90,86,82,https://cdn.sofifa.net/players/121/944/15_120.png,https://cdn.sofifa.net/teams/21/60.png
F. Ribéry,Franck Bilal Ribéry,88,88,33000000.0,200000.0,31,170,72,FC Bayern München,SUB,7.0,France,Right,89.0,78.0,85.0,92.0,29.0,62.0,92,84,91,92,89,76,51,https://cdn.sofifa.net/players/156/616/15_120.png,https://cdn.sofifa.net/teams/21/60.png
Falcao,Radamel Falcao García Zárate,88,88,46500000.0,250000.0,28,177,72,Manchester United,SUB,9.0,Colombia,Right,77.0,86.0,64.0,81.0,40.0,73.0,78,83,83,85,89,79,93,https://cdn.sofifa.net/players/167/397/15_120.png,https://cdn.sofifa.net/teams/11/60.png
